"D" "Ds" "dist_type" "epsilon" "ppv"
"112" "500" "50" "uniform" "-0.8" "22.4528301886792"
"113" "500" "50" "uniform" "-0.6" "27.5471698113208"
"114" "500" "50" "uniform" "-0.4" "40.377358490566"
"115" "500" "50" "uniform" "-0.2" "57.9245283018868"
"116" "500" "50" "uniform" "0" "100"
"117" "500" "50" "uniform" "0.2" "48.1132075471698"
"118" "500" "50" "uniform" "0.4" "28.4905660377358"
"119" "500" "50" "uniform" "0.6" "19.622641509434"
"120" "500" "50" "uniform" "0.8" "17.5803402646503"
"121" "500" "50" "uniform" "1" "20.4502814258912"
"122" "500" "50" "uniform" "1.2" "23.0188679245283"
"123" "500" "50" "uniform" "1.4" "25.4716981132075"
"124" "500" "50" "uniform" "1.6" "27.3584905660377"
"125" "500" "50" "uniform" "1.8" "29.0566037735849"
"126" "500" "50" "uniform" "2" "30.188679245283"
"127" "500" "50" "right_skew" "-2" "8.01393728222996"
"128" "500" "50" "right_skew" "-1.8" "7.49128919860627"
"129" "500" "50" "right_skew" "-1.6" "7.16783216783217"
"130" "500" "50" "right_skew" "-1.4" "6.64335664335664"
"131" "500" "50" "right_skew" "-1.2" "5.27240773286468"
"132" "500" "50" "right_skew" "-1" "4.93827160493827"
"133" "500" "50" "right_skew" "-0.8" "4.93827160493827"
"134" "500" "50" "right_skew" "-0.6" "5.60420315236427"
"135" "500" "50" "right_skew" "-0.4" "8.53658536585366"
"136" "500" "50" "right_skew" "-0.2" "43.4027777777778"
"137" "500" "50" "right_skew" "0" "100"
"138" "500" "50" "right_skew" "0.2" "90.625"
"139" "500" "50" "right_skew" "0.4" "73.7847222222222"
"140" "500" "50" "right_skew" "0.6" "56.4236111111111"
"141" "500" "50" "right_skew" "0.8" "46.1805555555556"
"142" "500" "50" "right_skew" "1" "39.0625"
"143" "500" "50" "right_skew" "1.2" "34.8958333333333"
"144" "500" "50" "right_skew" "1.4" "30.5555555555556"
"145" "500" "50" "right_skew" "1.6" "27.9513888888889"
"146" "500" "50" "right_skew" "1.8" "26.2152777777778"
"147" "500" "50" "right_skew" "2" "24.3055555555556"
"148" "500" "50" "left_skew" "-2" "19.8428290766208"
"149" "500" "50" "left_skew" "-1.8" "21.8074656188605"
"150" "500" "50" "left_skew" "-1.6" "24.3137254901961"
"151" "500" "50" "left_skew" "-1.4" "26.8627450980392"
"152" "500" "50" "left_skew" "-1.2" "29.6078431372549"
"153" "500" "50" "left_skew" "-1" "35.4901960784314"
"154" "500" "50" "left_skew" "-0.8" "41.7647058823529"
"155" "500" "50" "left_skew" "-0.6" "52.156862745098"
"156" "500" "50" "left_skew" "-0.4" "67.2549019607843"
"157" "500" "50" "left_skew" "-0.2" "86.8627450980392"
"158" "500" "50" "left_skew" "0" "100"
"159" "500" "50" "left_skew" "0.2" "42.5490196078431"
"160" "500" "50" "left_skew" "0.4" "8.84086444007858"
"161" "500" "50" "left_skew" "0.6" "4.75247524752475"
"162" "500" "50" "left_skew" "0.8" "4.57256461232604"
